,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
56,Leningradskiy,0,RU,1546818882,95,69.38,178.42,-15.74,7.38
57,Hamilton,20,CA,1546815600,68,43.26,-79.87,28.4,10.29
58,Ilinskiy,75,RU,1546819200,85,55.62,38.12,14.0,4.47
59,Khatanga,20,RU,1546819861,58,71.98,102.47,-33.02,6.15
60,Alakurtti,92,RU,1546820342,97,66.96,30.34,28.64,6.6
61,Surin,48,TH,1546819200,94,14.88,103.49,71.6,4.7
62,Airai,8,TL,1546818859,87,-8.93,125.41,76.25,0.34
63,Tessalit,12,ML,1546819921,41,20.2,1.01,52.85,9.51
64,Ketchikan,1,US,1546818960,48,55.34,-131.65,32.0,16.11
65,Provideniya,12,RU,1546819610,100,64.42,-173.23,5.6,26.06
66,Mount Isa,0,AU,1546817400,41,-20.73,139.49,91.4,9.17
67,Pisco,0,PE,1546819200,94,-13.71,-76.2,71.6,9.17
68,Saint-Philippe,90,CA,1546817700,62,45.36,-73.48,18.5,8.05
69,Makakilo City,90,US,1546819020,44,21.35,-158.09,82.94,10.29
70,Vaini,0,IN,1546819829,79,15.34,74.49,56.85,4.36
71,Sao Filipe,0,CV,1546819838,96,14.9,-24.5,73.28,9.51
72,Ciudad Bolivar,48,VE,1546820196,48,8.12,-63.55,84.89,12.75
73,New Norfolk,75,AU,1546817400,42,-42.78,147.06,66.2,8.05
74,Bambanglipuro,68,ID,1546820344,99,-7.95,110.28,74.27,4.14
75,Tezu,0,IN,1546819908,47,27.93,96.16,49.2,2.13
76,Catalao,8,BR,1546820344,90,-18.17,-47.95,70.62,1.9
77,Jamestown,0,AU,1546819814,42,-33.21,138.6,74.22,7.49
78,Burns Lake,88,CA,1546820345,81,54.23,-125.76,20.09,3.36
79,Constitucion,90,MX,1546819020,21,23.99,-104.67,69.8,6.93
80,Butaritari,20,KI,1546819828,100,3.07,172.79,83.13,13.76
81,Mount Gambier,40,AU,1546815600,56,-37.83,140.78,68.0,11.41
82,Georgetown,40,GY,1546815600,83,6.8,-58.16,80.6,13.87
83,Puerto Ayora,20,EC,1546815600,62,-0.74,-90.35,86.0,8.05
84,Bredasdorp,0,ZA,1546815600,77,-34.53,20.04,66.2,2.24
85,Cururupu,80,BR,1546820346,91,-1.82,-44.87,77.42,5.93
86,Albany,1,US,1546818840,54,42.65,-73.75,28.94,17.22
87,Kirksville,1,US,1546817700,87,40.19,-92.58,50.0,18.34
88,Port Hedland,0,AU,1546817400,79,-20.31,118.58,86.0,3.36
89,Adrar,0,DZ,1546815600,45,27.87,-0.29,44.6,11.41
90,Upernavik,0,GL,1546819881,100,72.79,-56.15,3.12,9.17
91,Lata,12,IN,1546818811,100,30.78,78.62,24.95,2.13
92,Acapulco,5,MX,1546814820,70,16.86,-99.88,84.2,11.41
93,Ures,0,MX,1546820347,69,30.73,-112.95,62.3,2.8
94,Grindavik,90,IS,1546817400,93,63.84,-22.43,39.2,5.82
95,Margate,40,AU,1546819200,45,-43.03,147.26,64.4,6.93
96,Lorengau,88,PG,1546819619,95,-2.02,147.27,85.07,14.43
97,Kadyy,56,RU,1546820347,84,57.79,43.19,9.56,5.93
98,Henties Bay,68,NA,1546819896,100,-22.12,14.28,61.49,4.7
99,Tasiilaq,0,GL,1546815000,52,65.61,-37.64,17.6,9.17
100,Whitehorse,20,CA,1546815600,75,60.72,-135.06,-14.81,8.05
101,Shenjiamen,64,CN,1546820207,96,29.96,122.3,51.27,14.2
102,Hangal,0,IN,1546820348,74,14.77,75.13,58.92,7.38
103,Tres Arroyos,32,AR,1546820349,66,-38.38,-60.28,68.82,12.19
104,Longyearbyen,75,NO,1546818600,73,78.22,15.63,21.2,49.44
105,Mar del Plata,92,AR,1546819738,38,-46.43,-67.52,63.6,22.15
106,Bethel,90,US,1546818960,91,60.79,-161.76,10.94,9.17
107,Chinavita,48,CO,1546820349,93,5.17,-73.37,54.78,2.13
108,Poum,48,MK,1546818878,75,41.28,20.71,5.24,1.79
109,Rantepao,24,ID,1546820350,97,-2.97,119.9,71.48,1.45
110,Kaitangata,12,NZ,1546819906,65,-46.28,169.85,66.93,17.22
111,Cherskiy,8,RU,1546819627,85,68.75,161.3,-39.68,1.68
112,Cidreira,92,BR,1546819595,80,-30.17,-50.22,77.69,16.33
113,Narva-Joesuu,32,EE,1546820351,95,59.46,28.04,14.73,7.94
114,Mahibadhoo,88,MV,1546820351,100,3.78,72.97,80.75,12.64
115,Bathsheba,75,BB,1546815600,74,13.22,-59.52,78.8,16.11
116,Bereda,0,ES,1546817400,100,43.27,-7.54,33.8,5.82
117,Dikson,44,RU,1546819834,100,73.51,80.55,-7.28,27.29
118,Dingle,0,PH,1546819896,69,11.0,122.67,76.65,14.76
119,Hualmay,12,PE,1546820351,84,-11.1,-77.61,69.45,4.7
120,Wageningen,90,NL,1546818900,100,51.98,5.66,41.0,2.24
121,Hudiksvall,0,SE,1546820352,86,61.73,17.1,37.46,12.64
122,Kirakira,68,SB,1546820352,100,-10.46,161.92,82.5,14.43
123,Melilla,90,EC,1546819200,88,-0.8,-80.23,75.2,6.93
124,Yinchuan,48,CN,1546820353,76,38.48,106.21,4.97,2.8
125,Russell,76,AR,1546820353,64,-33.01,-68.8,64.73,3.02
126,Ventspils,90,LV,1546818600,80,57.39,21.56,30.2,8.05
127,Kidal,48,ML,1546819909,46,18.44,1.41,56.18,9.73
128,Srednekolymsk,24,RU,1546818838,50,67.46,153.71,-30.14,3.13
129,Mahon,75,IE,1546819200,100,51.89,-8.4,48.2,9.17
130,Kaoma,76,ZM,1546819933,100,-14.8,24.8,67.07,4.03
131,Tilichiki,76,RU,1546819333,85,60.47,166.1,26.93,13.98
132,San Joaquin,0,PH,1546820355,69,10.59,122.14,76.65,14.76
133,Kahului,20,US,1546815360,49,20.89,-156.47,84.02,12.75
134,Ixtapa,75,MX,1546818360,65,20.71,-105.21,80.6,3.36
135,Olivet,90,FR,1546817400,93,47.87,1.9,41.0,3.36
136,Narsaq,80,GL,1546818849,92,60.91,-46.05,17.52,2.13
137,Mangrol,0,IN,1546820265,90,25.33,76.51,42.77,2.8
138,Emporia,90,US,1546818780,59,38.4,-96.18,57.92,23.04
139,Khorixas,0,NA,1546820356,74,-20.37,14.96,60.86,2.91
140,bhola,0,PK,1546815600,87,32.66,73.89,42.8,2.91
141,Lebu,8,ET,1546819650,71,8.96,38.73,32.87,2.57
142,Najran,0,SA,1546815600,57,17.54,44.22,59.0,2.24
143,Coihaique,75,CL,1546815600,61,-45.58,-72.07,50.0,9.17
144,Castro,90,CL,1546815600,58,-42.48,-73.76,55.4,8.05
145,North Bend,75,US,1546818960,70,43.41,-124.22,48.02,10.29
146,Hay River,90,CA,1546815600,84,60.82,-115.79,3.2,10.29
147,Split,0,HR,1546819200,44,43.51,16.44,39.2,11.41
148,Puerto Escondido,20,MX,1546814460,66,15.86,-97.07,84.2,10.29
149,Brus Laguna,76,HN,1546820357,66,15.75,-84.48,76.7,3.47
150,Kodiak,1,US,1546816500,43,39.95,-94.76,55.04,12.75
151,Mana,90,RS,1546817400,86,43.52,20.24,28.4,4.7
152,Kruisfontein,8,ZA,1546819657,88,-34.0,24.73,62.12,8.5
153,Tuktoyaktuk,90,CA,1546815600,76,69.44,-133.03,-4.01,5.82
154,Bayir,75,TR,1546818600,93,37.27,28.22,37.4,6.93
155,Salalah,75,OM,1546818600,78,17.01,54.1,71.6,6.6
156,Cayenne,90,GF,1546819200,94,4.94,-52.33,78.8,6.93
157,Sturgeon Bay,1,US,1546818960,68,44.83,-87.38,30.92,8.05
158,Vila Velha,0,BR,1546819200,78,-3.71,-38.6,80.6,8.05
159,Taos,1,US,1546818960,88,36.41,-105.57,32.0,6.93
160,Ouesso,24,CG,1546820359,95,1.61,16.05,73.77,3.13
161,Olenino,56,RU,1546820360,86,56.21,33.48,11.99,5.37
162,Chernyy Yar,90,RU,1546819200,92,64.44,40.96,23.0,8.95
163,Honningsvag,64,NO,1546819901,99,70.98,25.97,36.65,20.47
164,Talnakh,56,RU,1546819835,75,69.49,88.39,-0.57,21.03
165,Hanzhong,80,CN,1546820360,92,33.08,107.03,25.4,1.9
166,Zelenogorskiy,32,RU,1546819200,84,55.03,87.0,6.8,6.71
167,Antalaha,88,MG,1546820361,98,-14.9,50.28,77.78,7.05
168,Victor Harbor,75,AU,1546819200,53,-35.55,138.62,71.6,13.87
169,Husavik,88,CA,1546819910,87,50.56,-96.99,21.75,19.13
170,Rawson,88,AR,1546818876,20,-43.3,-65.11,77.15,7.38
171,Libano,0,IT,1546818600,39,46.15,12.16,32.0,4.7
172,Namalenga,0,TZ,1546820362,88,-10.95,39.1,74.85,7.94
173,Muisne,75,EC,1546815600,100,0.61,-80.02,75.2,4.7
174,Nador,0,MA,1546819200,100,35.17,-2.93,42.8,3.36
175,Bambous Virieux,40,MU,1546815600,83,-20.34,57.76,82.4,13.87
176,Roth,90,DE,1546819260,100,49.25,11.09,39.2,10.29
177,Kapaa,1,US,1546815360,62,22.08,-159.32,80.06,6.93
178,Sarangani,24,PH,1546820363,97,5.4,125.46,81.87,14.43
179,Taoudenni,0,ML,1546820363,30,22.68,-3.98,50.15,12.53
180,Nikolskoye,90,RU,1546817400,79,59.7,30.79,24.8,8.95
181,Ordu,75,TR,1546818600,75,40.98,37.88,42.8,14.99
182,Nautla,32,MX,1546820363,100,20.22,-96.78,75.03,18.01
183,Severo-Kurilsk,44,RU,1546819820,100,50.68,156.12,25.67,26.96
184,Gazojak,88,TM,1546820364,80,41.19,61.4,40.7,9.4
185,Hilo,1,US,1546815180,49,19.71,-155.08,80.96,12.75
186,Artyom,0,RU,1546819200,70,43.36,132.19,-0.41,7.05
187,Namatanai,68,PG,1546819880,100,-3.66,152.44,83.09,14.76
188,West Bay,20,GB,1546815000,100,50.71,-2.76,44.6,2.24
189,San Felipe,80,CL,1546820365,89,-32.75,-70.73,58.83,1.68
190,Saldanha,0,PT,1546818248,72,41.42,-6.55,19.77,2.68
191,Okakarara,68,NA,1546820365,89,-20.59,17.46,64.77,3.36
192,Aksu,0,KZ,1546819200,83,52.04,76.93,-4.01,8.95
193,Vostok,0,RU,1546818325,50,46.45,135.83,-18.08,1.9
194,Inhambane,76,MZ,1546820189,100,-23.87,35.38,75.57,11.41
195,Mahebourg,40,MU,1546815600,83,-20.41,57.7,82.4,13.87
196,Saskylakh,12,RU,1546819855,0,71.97,114.09,-38.15,3.02
197,Tefe,20,BR,1546814700,94,-3.35,-64.71,80.6,4.7
198,Riyadh,0,SA,1546819200,39,24.63,46.72,62.6,4.7
199,Fort Frances,90,CA,1546815300,87,48.61,-93.4,21.02,11.41
200,Flinders,90,AU,1546815600,64,-34.58,150.85,71.6,8.05
201,Talaya,44,RU,1546819200,78,55.79,84.89,12.2,15.66
202,Manzhouli,0,CN,1546820367,56,49.6,117.43,-12.68,14.76
203,Iwanai,76,JP,1546820367,100,42.97,140.51,28.01,13.42
204,Puerto del Rosario,12,ES,1546819200,59,28.5,-13.86,66.2,14.99
205,Mindelo,0,PT,1546817400,56,41.31,-8.72,44.6,8.05
206,Waddan,0,LY,1546820368,72,29.16,16.14,30.48,5.37
207,Lavrentiya,0,RU,1546819871,89,65.58,-170.99,4.25,19.13
208,Shelburne,1,CA,1546819200,57,44.08,-80.2,26.6,5.82
209,Codrington,75,AU,1546815600,65,-28.95,153.24,80.6,9.17
210,Craig,90,US,1546818900,75,40.52,-107.55,35.96,16.11
211,Ellenabad,0,IN,1546820369,89,29.45,74.66,43.53,2.8
212,Ust-Kuyga,0,RU,1546820369,0,70.0,135.55,-47.42,3.02
213,Breves,92,BR,1546820369,100,-1.68,-50.48,74.27,4.59
214,Bandarbeyla,80,SO,1546820370,100,9.49,50.81,75.93,18.23
215,Gardelegen,88,DE,1546820370,93,52.53,11.39,37.68,6.04
216,Kasongo-Lunda,92,CD,1546820370,99,-6.48,16.82,68.06,2.46
217,Nanortalik,80,GL,1546818276,96,60.14,-45.24,30.48,9.17
218,Gondanglegi,20,ID,1546820370,97,-7.75,112.01,74.9,3.36
219,Kamenka,64,RU,1546820222,86,53.19,44.05,12.12,4.25
220,Guayaramerin,20,BO,1546820371,79,-10.82,-65.36,81.15,3.36
221,San Patricio,64,PY,1546819869,80,-26.98,-56.83,81.74,6.71
222,Gorontalo,12,ID,1546820371,90,0.54,123.06,77.42,2.46
223,Voh,76,NC,1546820371,90,-20.95,164.69,79.53,14.76
224,Teya,5,MX,1546818420,64,21.05,-89.07,75.2,11.41
225,Mehamn,75,NO,1546815000,64,71.03,27.85,39.2,31.09
226,Isangel,0,VU,1546819008,97,-19.55,169.27,79.4,16.22
227,Iqaluit,90,CA,1546817400,62,63.75,-68.52,-13.01,4.7
228,Macheng,80,CN,1546820372,94,31.18,115.03,30.71,2.91
229,College,0,US,1546815480,69,64.86,-147.8,-32.44,2.91
230,Sept-Iles,75,CA,1546815600,57,50.2,-66.38,19.4,21.92
231,Hobart,75,AU,1546817400,42,-42.88,147.33,66.2,8.05
232,Tiznit,0,MA,1546819369,74,29.7,-9.73,49.07,4.03
233,Port Elizabeth,1,US,1546815360,43,39.31,-74.98,46.04,11.41
234,Dubbo,32,AU,1546819200,45,-32.25,148.6,84.2,14.99
235,Katsuura,20,JP,1546819200,96,33.93,134.5,39.2,9.17
236,Kokstad,12,ZA,1546820373,95,-30.55,29.42,50.69,2.68
237,Te Anau,44,NZ,1546819878,77,-45.41,167.72,57.26,10.07
238,Zyryanka,24,RU,1546820373,45,65.73,150.89,-28.16,6.04
239,Joensuu,90,FI,1546818600,100,62.6,29.76,26.6,6.93
240,Fairbanks,0,US,1546815480,69,64.84,-147.72,-32.44,2.91
241,Port Hardy,90,CA,1546815600,93,50.7,-127.42,35.6,6.93
242,Esperance,20,TT,1546815600,83,10.24,-61.45,78.8,11.41
243,Beringovskiy,80,RU,1546819674,91,63.05,179.32,23.37,28.97
244,Edd,8,ER,1546820374,59,13.93,41.69,53.52,2.57
245,Ostersund,12,SE,1546818600,86,63.18,14.64,33.8,12.75
246,Meulaboh,36,ID,1546820271,100,4.14,96.13,78.18,3.02
247,Omaha,75,US,1546818960,65,41.26,-95.94,50.18,11.41
248,Ikongo,100,MG,1546820375,98,-21.88,47.44,66.3,2.13
249,Nosy Varika,92,MG,1546820375,100,-20.58,48.53,76.79,3.8
250,Nioro,76,GM,1546820375,42,13.79,-15.05,69.63,4.7
251,Kathmandu,40,NP,1546815000,81,27.71,85.32,44.6,2.35
252,Comodoro Rivadavia,75,AR,1546819200,20,-45.87,-67.48,66.2,20.8
253,Saint-Denis,90,FR,1546817400,87,48.94,2.36,42.8,3.36
254,Oktyabrskiy,75,RU,1546819200,85,55.61,37.97,14.0,4.47
255,Pacifica,90,US,1546819200,100,37.61,-122.49,57.02,23.04
256,Le Port,0,FR,1546820377,52,42.87,1.37,14.15,2.35
257,Chipata,64,ZM,1546820377,95,-13.64,32.65,67.65,3.13
258,Caranavi,88,BO,1546820377,88,-15.83,-67.57,70.35,1.12
259,Paidha,76,UG,1546820377,73,2.42,30.99,68.42,2.91
260,Ponta Delgada,75,PT,1546817400,88,37.73,-25.67,64.4,23.04
261,Kishtwar,0,IN,1546820378,63,33.31,75.77,7.85,1.68
262,Bacolod,0,PH,1546820378,70,10.68,122.95,77.33,12.64
263,Oyem,68,GA,1546820378,99,1.6,11.57,67.97,2.57
264,Monrovia,20,LR,1546817400,94,6.33,-10.8,75.2,6.26
265,Ponoka,90,CA,1546815600,92,52.68,-113.59,23.0,11.41
266,Am Timan,0,TD,1546820379,28,11.04,20.28,76.52,11.41
267,Ahipara,0,NZ,1546820379,66,-35.17,173.16,75.71,9.4
268,La Ronge,90,CA,1546816080,85,55.1,-105.3,12.2,8.05
269,Nanchong,36,CN,1546820379,92,30.8,106.08,32.42,2.91
270,Mayor Pablo Lagerenza,20,PY,1546820380,45,-19.93,-60.77,91.64,22.7
271,Vrindavan,80,IN,1546820380,97,27.58,77.69,49.47,6.93
272,Omsukchan,68,RU,1546820380,48,62.53,155.8,-31.4,2.57
273,Kaeo,0,NZ,1546820219,45,-35.1,173.78,83.9,1.68
274,Canto do Buriti,80,BR,1546820380,98,-8.11,-42.94,68.15,5.14
275,Waingapu,32,ID,1546819843,95,-9.65,120.26,78.32,4.14
276,Morgaushi,0,RU,1546819200,84,55.96,46.77,1.4,4.47
277,Kigoma,48,TZ,1546820381,100,-4.88,29.64,74.99,0.22
278,Padang,40,ID,1546819200,94,-0.92,100.36,77.0,2.8
279,Porangatu,0,BR,1546820381,87,-13.44,-49.14,72.83,2.46
280,Bolshevik,75,BY,1546819200,100,54.01,27.57,17.6,5.03
281,Barcelos,0,PT,1546817400,56,41.53,-8.62,44.6,8.05
282,Marawi,20,PH,1546820221,83,8.0,124.29,71.75,2.68
283,Coquimbo,20,CL,1546815600,63,-29.95,-71.34,66.2,9.17
284,Kendari,12,ID,1546820237,74,-3.99,122.52,81.38,3.69
285,Sembakung,0,ID,1546820382,90,3.82,117.25,77.37,2.8
286,Doha,1,QA,1546818960,93,25.29,51.53,68.0,10.85
287,Bozhou,88,CN,1546820382,88,33.86,115.78,29.4,5.37
288,Ust-Uda,36,RU,1546820383,56,54.17,103.03,-19.97,2.57
289,Alofi,92,NU,1546815600,83,-19.06,-169.92,82.4,11.41
290,Keti Bandar,0,PK,1546819866,100,24.14,67.45,63.87,15.88
291,Belaya Gora,12,RU,1546820206,0,68.54,146.19,-41.93,2.57
292,Baykit,68,RU,1546819907,72,61.68,96.39,-3.32,10.74
293,Kavieng,68,PG,1546818259,95,-2.57,150.8,85.88,12.97
294,Hami,0,CN,1546820383,46,42.84,93.51,-2.6,6.82
295,Surt,8,LY,1546820384,100,31.21,16.59,55.77,20.24
296,Maningrida,0,AU,1546820384,93,-12.05,134.23,85.97,3.69
297,Moyale,80,ET,1546820384,41,3.52,39.05,65.72,4.25
298,Chuy,80,UY,1546819821,69,-33.69,-53.46,82.68,19.69
299,Alyangula,8,AU,1546815600,66,-13.85,136.42,87.8,5.82
300,Aklavik,90,CA,1546815600,76,68.22,-135.01,-5.81,7.16
301,Sitka,56,US,1546820188,39,37.17,-99.65,64.64,22.03
302,Dunedin,8,NZ,1546820153,77,-45.87,170.5,65.72,4.47
303,Valparaiso,75,US,1546818900,78,41.47,-87.06,41.0,14.99
304,Klyuchi,8,RU,1546819879,67,52.25,79.17,2.63,12.75
305,Rudsar,0,IR,1546819200,87,37.14,50.29,50.0,2.24
306,Minna,0,NG,1546820385,31,9.62,6.55,72.83,13.65
307,Toribio,88,CO,1546820385,100,2.95,-76.27,55.68,1.9
308,Goure,8,NE,1546820386,38,13.98,10.27,59.28,12.3
309,Churapcha,56,RU,1546820386,42,62.0,132.43,-27.26,3.58
310,Puerto Carreno,75,CO,1546819200,58,6.19,-67.49,86.0,3.69
311,Kralendijk,0,BQ,1546818900,74,12.15,-68.27,78.8,17.22
312,Tucumcari,90,US,1546818780,54,35.17,-103.73,57.02,25.28
313,West Wendover,1,US,1546818960,69,40.74,-114.07,35.06,6.93
314,Bereznik,80,RU,1546820387,86,62.86,42.71,16.58,9.73
315,Oga,0,NG,1546820387,66,8.18,5.65,67.7,1.79
316,Mpraeso,0,GH,1546820387,70,6.6,-0.73,72.2,4.36
317,Ust-Nera,8,RU,1546820388,0,64.57,143.24,-60.29,1.57
318,Santa Maria,68,BR,1546820389,78,-29.69,-53.81,78.23,8.16
319,Kibala,0,TD,1546819200,29,9.11,18.35,75.2,6.93
320,Nantucket,1,US,1546818900,56,41.28,-70.1,39.02,23.04
321,Xai-Xai,44,MZ,1546820240,100,-25.04,33.64,74.9,14.09
322,Iskateley,88,RU,1546820389,83,67.68,53.15,11.27,8.84
323,Vanderhoof,92,CA,1546820390,74,54.02,-124.02,18.83,5.14
324,Los Llanos de Aridane,0,ES,1546817400,55,28.66,-17.92,64.4,11.41
325,Sikeston,1,US,1546818900,71,36.88,-89.59,57.2,5.82
326,Rocha,80,UY,1546820390,60,-34.48,-54.34,84.98,12.19
327,Sibolga,92,ID,1546820390,100,1.74,98.78,70.4,2.24
328,Lake Cowichan,75,CA,1546819200,80,48.82,-124.05,42.8,8.05
329,Tigil,64,RU,1546820391,75,57.8,158.67,-12.14,3.13
330,Guerrero Negro,36,MX,1546819864,73,27.97,-114.04,61.4,12.86
331,Mogadishu,36,SO,1546819825,99,2.04,45.34,79.8,20.13
332,Pangkalanbuun,56,ID,1546820391,100,-2.68,111.62,74.18,4.03
333,Miri,20,NG,1546819315,38,10.31,9.75,57.3,6.71
334,Erzin,40,TR,1546818600,76,36.95,36.2,48.2,17.22
335,Trairi,80,BR,1546819683,100,-3.28,-39.27,81.92,14.88
336,Kjollefjord,75,NO,1546815000,64,70.95,27.35,39.2,31.09
337,Sulangan,24,PH,1546820392,100,11.14,123.72,79.85,18.57
338,Quang Ngai,92,VN,1546820392,99,15.12,108.8,68.33,2.57
339,Tupik,36,RU,1546820392,45,54.43,119.94,-29.78,2.35
340,Shujaabad,0,PK,1546818900,81,29.88,71.29,44.6,2.24
341,Berlevag,75,NO,1546815000,64,70.86,29.09,39.2,31.09
342,Northam,75,GB,1546815000,93,51.04,-4.21,46.4,1.12
343,Vangaindrano,48,MG,1546820393,100,-23.35,47.6,68.33,2.57
344,Yeppoon,40,AU,1546817400,54,-23.13,150.74,84.2,13.87
345,Port Lincoln,92,AU,1546818880,84,-34.72,135.86,68.33,10.18
346,Smithers,90,CA,1546815600,92,54.78,-127.17,24.8,6.93
347,Havre-Saint-Pierre,90,CA,1546815600,62,50.23,-63.6,24.8,16.11
348,Colares,0,PT,1546817400,71,38.8,-9.45,50.0,9.17
349,Alice Springs,0,AU,1546817400,14,-23.7,133.88,84.2,10.29
350,Harer,90,US,1546817700,100,42.19,-111.17,26.6,5.82
351,Paamiut,88,GL,1546820232,97,61.99,-49.67,32.51,14.65
352,Fildu de Jos,90,RO,1546817400,73,46.92,23.06,19.4,6.93
353,Lakes Entrance,0,AU,1546820224,86,-37.88,147.99,68.51,3.91
354,Uglezavodsk,20,RU,1546819200,83,47.32,142.63,-7.61,4.47
355,Sinegorye,48,RU,1546820282,57,62.09,150.53,-34.77,2.13
356,Luderitz,0,NA,1546819672,85,-26.65,15.16,59.82,14.2
357,Gornoye Loo,90,RU,1546819200,87,43.72,39.61,46.4,11.18
358,Huai Thalaeng,75,TH,1546819200,83,15.0,102.65,73.4,4.7
359,Ratnapura,0,IN,1546820395,82,17.9,77.63,56.81,3.13
360,Noyabrsk,76,RU,1546820395,81,63.2,75.45,9.92,14.99
361,Hambantota,0,LK,1546820217,100,6.12,81.12,74.54,7.72
362,Praia da Vitoria,75,PT,1546815600,93,38.73,-27.07,62.6,27.07
363,Vardo,1,US,1546818900,48,39.62,-77.74,44.6,6.93
364,Kotdwara,76,IN,1546820396,100,29.75,78.53,39.44,2.35
365,Nemuro,40,JP,1546819200,61,43.32,145.57,17.6,9.17
366,Thinadhoo,80,MV,1546820396,100,0.53,72.93,81.2,5.7
367,Victoria,75,BN,1546819200,79,5.28,115.24,86.0,4.7
368,Mier,0,IT,1546818600,39,46.13,12.19,32.0,4.7
369,Askiz,12,RU,1546820397,63,53.13,90.53,-8.9,0.11
370,Antipovka,64,RU,1546820397,94,49.83,45.31,17.3,11.86
371,Marquette,40,US,1546818960,73,46.54,-87.4,24.8,9.17
372,Hofn,92,IS,1546820201,100,64.25,-15.21,39.48,13.65
373,Itarema,88,BR,1546820397,80,-2.92,-39.92,79.49,10.96
